Title,Authors,Format,Read Status,Star Rating,Date Started,Date Finished
Parable of the Sower,Octavia E. Butler,paperback,to-read,,,
River of Souls,"Robert Jordan, Brandon Sanderson",audio,to-read,,,
A Crown of Swords: Book Seven of 'the Wheel of Time',Robert Jordan,audio,to-read,,,
He/She/They: How We Talk About Gender and Why It Matters,Schuyler Bailar,hardcover,to-read,,,
The Hundred Years' War on Palestine,Rashid Khalidi,audio,read,4.25,2024-10-29,2024-10-29
Piranesi,Susanna Clarke,audio,read,4.25,2024-08-27,2024-08-27
Sea of Tranquility,Emily St. John Mandel,audio,read,3.5,2024-11-06,2024-11-06
The Path of Daggers,Robert Jordan,audio,to-read,,,
The Gathering Storm,"Robert Jordan, Brandon Sanderson",audio,to-read,,,
Towers of Midnight,"Robert Jordan, Brandon Sanderson",audio,to-read,,,
"The Anarchy: The East India Company, Corporate Violence, and the Pillage of an Empire",William Dalrymple,hardcover,to-read,,,
The Priory of the Orange Tree,Samantha Shannon,hardcover,to-read,,,
The Hero of Ages,Brandon Sanderson,audio,read,4.0,2024-08-01,2024-08-10
Velocity Weapon,Megan E. O'Keefe,audio,read,4.25,2024-09-19,2024-09-20
Destiny Disrupted: A History of the World Through Islamic Eyes,Tamim Ansary,audio,read,4.0,2024-11-16,2024-11-18
The Assassination of Fred Hampton: How the FBI and the Chicago Police Murdered a Black Panther,Jeffrey Haas,hardcover,to-read,,,
This Is How You Lose the Time War,"Max Gladstone, Amal El-Mohtar",audio,read,3.25,2024-11-11,2024-11-11
Yumi and the Nightmare Painter,Brandon Sanderson,hardcover,to-read,,,
Automating Inequality,Virginia Eubanks,audio,read,3.25,2024-09-23,2024-09-23
"The End Is Always Near: Apocalyptic Moments, from the Bronze Age Collapse to Nuclear Near Misses",Dan Carlin,audio,read,3.25,2024-11-07,2024-11-07
Tress of the Emerald Sea,Brandon Sanderson,audio,read,4.0,2024-09-25,2024-09-25
The Fires of Heaven,Robert Jordan,audio,read,3.75,2024-11-20,2024-11-22
The Colour of Magic,Terry Pratchett,audio,read,3.0,2024-09-09,2024-09-09
Howl's Moving Castle,Diana Wynne Jones,audio,read,3.75,2024-11-12,2024-11-13
Shadows of Self,Brandon Sanderson,audio,read,3.5,2024-08-01,2024-08-13
The Water Dancer,Ta-Nehisi Coates,audio,read,4.5,2024-11-08,2024-11-11
Chaos Vector,Megan E. O'Keefe,audio,read,4.0,2024-10-01,2024-10-05
"Freedom Is a Constant Struggle: Ferguson, Palestine, and the Foundations of a Movement",Angela Y. Davis,audio,read,4.0,2024-08-30,2024-08-30
Pew,Catherine Lacey,hardcover,to-read,,,
