Publisher Name,Series Name,Full Title,Release Date,My Rating
First Second Books,American Born Chinese (2006),American Born Chinese TP,2006-03-01,
Marvel Comics,Astonishing X-Men (Vol. 3) (2004 - 2013),Astonishing X-Men Vol. 1: Gifted TP,2004-12-15,
DC Comics,Batgirls (2021 - 2023),Batgirls #13,2022-12-13,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #135,2023-05-02,
DC Comics,Batman: The Dark Knight Returns (1986),Batman: The Dark Knight Returns TP,2014-03-07,
DC Comics,Batman: The Killing Joke (1988),Batman: The Killing Joke – The Deluxe Edition HC,2008-03-19,
Marvel Comics,Damage Control (Vol. 4) (2022),Damage Control #1,2022-08-24,
DC Comics,Dark Crisis on Infinite Earths (2022),Dark Crisis on Infinite Earths #0,2022-05-07,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel Vol. 1 HC,2022-09-20,
DC Comics,Dawn of DC Primer (2023),Dawn of DC Primer Special Edition #1,2023-05-16,
DC Comics,Dawn of DC: We Are Legends Special Edition (2023),Dawn of DC: We Are Legends Special Edition #1,2023-05-02,
Dark Horse Comics,Dawnrunner (2024),Dawnrunner #2 Cover D 1:10 Evan Cagle Red Foil Logo on Line Art Variant,2024-04-24,4.0
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1084,2024-04-23,
Marvel Comics,The Eternals (Vol. 2) (1985 - 1986),The Eternals #1,1985-10-01,
Marvel Comics,Fantastic Four (Vol. 1) (1961 - 1996),Fantastic Four #323,1988-10-25,
Dark Horse Comics,Free Comic Book Day 2022: Avatar: The Last Airbender / The Legend of Korra (2022),Free Comic Book Day 2022: Avatar: The Last Airbender / The Legend of Korra #1,2022-05-07,
Yen Press,Free Comic Book Day 2022: Enemies (2022),Free Comic Book Day 2022: Enemies #1,2022-05-07,
DC Comics,Free Comic Book Day 2022: Galaxy  - The Prettiest Star Special Edition (2022),Free Comic Book Day 2022: Galaxy - The Prettiest Star Special Edition #1,2022-05-07,
Marvel Comics,Free Comic Book Day 2022: Marvel's Voices (2022),Free Comic Book Day 2022: Marvel's Voices #1,2022-05-07,
IDW Publishing,Free Comic Book Day 2022: Sonic The Hedgehog (2022),Free Comic Book Day 2022: Sonic The Hedgehog #1,2022-05-07,
Marvel Comics,Free Comic Book Day 2022: Spider-Man / Venom (2022),Free Comic Book Day 2022: Spider-Man / Venom #1,2022-05-07,
IDW Publishing,Free Comic Book Day 2022: Teenage Mutant Ninja Turtles (2022),Free Comic Book Day 2022: Teenage Mutant Ninja Turtles #1,2022-05-07,
Tokyopop,Free Comic Book Day 2022: The Guardian of Fukushima (2022),Free Comic Book Day 2022: The Guardian of Fukushima #1,2022-05-07,
Ablaze,Free Comic Book Day 2023: Animal Castle (2023),Free Comic Book Day 2023: Animal Castle #1,2023-05-06,
DC Comics,Free Comic Book Day 2023: Dawn of DC - Knight Terrors (2023),Free Comic Book Day 2023: Dawn of DC - Knight Terrors #1,2023-05-06,
Fantagraphics Books,Free Comic Book Day 2023: Fabulous Furry Freak Brothers (2023),Free Comic Book Day 2023: Fabulous Furry Freak Brothers #1,2023-05-06,
Image Comics,Free Comic Book Day 2023: Fishflies (2023),Free Comic Book Day 2023: Fishflies #1,2023-05-06,
Opus Comics,Free Comic Book Day 2023: FrazettaVerse (2023),Free Comic Book Day 2023: FrazettaVerse #1,2023-05-06,
Marvel Comics,Free Comic Book Day 2023: Marvel's Voices (2023),Free Comic Book Day 2023: Marvel's Voices #1,2023-05-06,
BOOM! Studios,Free Comic Book Day 2023: Ranger Academy (2023),Free Comic Book Day 2023: Ranger Academy #1,2023-05-06,
Kodansha,Free Comic Book Day 2023: Shaman King Flowers & Welcome To Demon School (2023),Free Comic Book Day 2023: Shaman King Flowers & Welcome To Demon School! Iruma-kun #1,2023-05-06,
Marvel Comics,Free Comic Book Day 2023: Spider-Man / Venom (2023),Free Comic Book Day 2023: Spider-Man / Venom #1,2023-05-06,
Image Comics,Free Comic Book Day 2023: The Sacrificers (2023),Free Comic Book Day 2023: The Sacrificers #1,2023-05-06,
Dark Horse Comics,Free Comic Book Day 2023: The Umbrella Academy & The Witcher (2023),Free Comic Book Day 2023: The Umbrella Academy & The Witcher #1,2023-05-06,
