Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Parable of the Sower,Octavia E. Butler,"",9780446675505,paperback,to-read,2024/11/16,"","",0,"",,,,,,,,,"",,"",No
River of Souls,"Robert Jordan, Brandon Sanderson",Jeff Woodman (Narrator),"",audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
A Crown of Swords: Book Seven of 'the Wheel of Time',Robert Jordan,"",9781593979768,audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
He/She/They: How We Talk About Gender and Why It Matters,Schuyler Bailar,"",9780306831874,hardcover,to-read,2024/11/02,"","",0,"",,,,,,,,,"",,"",No
The Hundred Years' War on Palestine,Rashid Khalidi,Fajer Al-Kaisi (Narrator),9781250769473,audio,read,2024/10/29,2024/10/29,2024/10/29-2024/10/29,1,"",,,,,,,4.25,"","","","",No
Piranesi,Susanna Clarke,Chiwetel Ejiofor (Narrator),9781526622419,audio,read,2024/08/27,2024/08/27,2024/08/27-2024/08/27,1,"",,"","","","","",4.25,"","","","",No
Sea of Tranquility,Emily St. John Mandel,"Kirsten Potter (Narrator), John Lee (Narrator), Arthur Morey (Narrator), Dylan Moore (Narrator)",9780593552070,audio,read,2024/11/06,2024/11/06,2024/11/06-2024/11/06,1,"",,"","","","","",3.5,"","","","",No
The Path of Daggers,Robert Jordan,"Michael Kramer (Narrator), Kate Reading (Narrator)",9781427205094,audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
The Gathering Storm,"Robert Jordan, Brandon Sanderson","Michael Kramer (Narrator), Kate Reading (Narrator)",9781593977689,audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
Towers of Midnight,"Robert Jordan, Brandon Sanderson","Michael Kramer (Narrator), Kate Reading (Narrator)",9781427210234,audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
"The Anarchy: The East India Company, Corporate Violence, and the Pillage of an Empire",William Dalrymple,"",9781635573954,hardcover,to-read,2024/11/06,"","",0,"",,,,,,,,,"",,"",No
The Priory of the Orange Tree,Samantha Shannon,"",9781635570298,hardcover,to-read,2024/09/03,"","",0,"",,,,,,,,,"",,"",No
The Hero of Ages,Brandon Sanderson,Michael Kramer (Narrator),9781427206398,audio,read,2024/08/22,2024/08/10,2024/08-2024/08/10,1,"",,"","","","","",4.0,"","","","",No
Velocity Weapon,Megan E. O'Keefe,Joe Jameson (Narrator),9781549125997,audio,read,2024/09/16,2024/09/20,2024/09/19-2024/09/20,1,"",,"","","","","",4.25,"","","","",No
Destiny Disrupted: A History of the World Through Islamic Eyes,Tamim Ansary,Tamim Ansary (Narrator),9781433272264,audio,read,2024/11/16,2024/11/18,2024/11/16-2024/11/18,1,"",,,,,,,4.0,"","","","",No
The Assassination of Fred Hampton: How the FBI and the Chicago Police Murdered a Black Panther,Jeffrey Haas,"",9781556527654,hardcover,to-read,2024/11/06,"","",0,"",,,,,,,,,"",,"",No
This Is How You Lose the Time War,"Max Gladstone, Amal El-Mohtar","Emily Woo Zeller (Narrator), Cynthia Farrell (Narrator)",9781508287070,audio,read,2024/11/08,2024/11/11,2024/11/11-2024/11/11,1,"",,"","","","","",3.25,"","","","",No
Yumi and the Nightmare Painter,Brandon Sanderson,Aliya Chen (Illustrator),9781250899699,hardcover,to-read,2024/09/27,"","",0,"",,,,,,,,,"",,"",No
Automating Inequality,Virginia Eubanks,Teri Schnaubelt (Narrator),9781977394422,audio,read,2024/09/24,2024/09/23,2024/09/23-2024/09/23,1,"",,,,,,,3.25,"","","","",No
"The End Is Always Near: Apocalyptic Moments, from the Bronze Age Collapse to Nuclear Near Misses",Dan Carlin,Dan Carlin (Narrator),9781094026039,audio,read,2024/11/07,2024/11/07,2024/11/07-2024/11/07,1,"",,,,,,,3.25,"","","","",No
Tress of the Emerald Sea,Brandon Sanderson,Full Cast (Narrator),9798890553157,audio,read,2024/09/25,2024/09/25,2024/09/25-2024/09/25,1,"",,"","","","","",4.0,"","","","",No
The Fires of Heaven,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",B0007ZK396,audio,read,2024/11/20,2024/11/22,2024/11/20-2024/11/22,1,"",,"","","","","",3.75,"","","","",No
The Colour of Magic,Terry Pratchett,Nigel Planer (Narrator),"",audio,read,2024/09/09,2024/09/09,2024/09/09-2024/09/09,1,"",,"","","","","",3.0,"","","","",No
Howl's Moving Castle,Diana Wynne Jones,Jenny Sterlin (Narrator),9781436186124,audio,read,2024/11/08,2024/11/13,2024/11/12-2024/11/13,1,"",,"","","","","",3.75,"","","","",No
Shadows of Self,Brandon Sanderson,Michael Kramer (Narrator),9781427262240,audio,read,2024/08/22,2024/08/13,2024/08-2024/08/13,1,"",,"","","","","",3.5,"","","","",No
The Water Dancer,Ta-Nehisi Coates,Joe Morton (Narrator),9780525494874,audio,read,2024/11/08,2024/11/11,2024/11/08-2024/11/11,1,"",,"","","","","",4.5,"","","","",No
Chaos Vector,Megan E. O'Keefe,"",9781549133077,audio,read,2024/09/21,2024/10/05,2024/10/01-2024/10/05,1,"",,"","","","","",4.0,"","","","",No
"Freedom Is a Constant Struggle: Ferguson, Palestine, and the Foundations of a Movement",Angela Y. Davis,"Coleen Marlo (Narrator), Angela Y. Davis (Narrator)",9781515958352,audio,read,2024/08/31,2024/08/30,2024/08/30-2024/08/30,1,"",,,,,,,4.0,"","","","",No
Pew,Catherine Lacey,"",9780374230920,hardcover,to-read,2024/11/14,"","",0,"",,,,,,,,,"",,"",No
The Final Empire,Brandon Sanderson,Michael Kramer (Narrator),9781427222411,audio,read,2024/08/22,2023/02/05,2024/02/05-2023/02/05,1,"",,"","","","","",4.0,"","","","",No
The Emperor's Soul,Brandon Sanderson,Full Cast (Narrator),"",audio,read,2024/08/30,2024/08/29,2024/08/29-2024/08/29,1,"",,"","","","","",3.75,"","","","",No
Winter's Heart,"Robert Jordan, Michael Kramer, Kate Reading","",9780307941268,audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
